,admission_year,matric_gpa,study_year,current_gpa,monthly_allowance,scholarship,study_hours,classes_missed,failed_modules,gender_Female,gender_Male,faculty_AgriSciences,faculty_Arts & Social Sciences,faculty_Economic & Management Sciences,faculty_Education,faculty_Engineering,faculty_Law,faculty_Medicine and Health Services,faculty_Science,faculty_Unknown,accommodation_Non-private accommodation ie. Res,accommodation_Private accommodation/ stay with family/friends
0,2024,-0.285134041834431,1,0.7384615904662755,4500.0,0,8.0,8.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2024,1.5776428770938056,1,1.1076787446715481,7500.0,1,8.0,4.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
2,2024,-0.285134041834431,0,-1.353768950030269,4500.0,0,4.0,8.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,1
3,2024,1.5776428770938056,1,2.2153302072873657,6500.0,0,4.0,8.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,1
4,2024,-0.5717151062849289,1,-1.7229861042355417,4500.0,0,4.0,7.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1
5,2024,0.7178996837423118,5,-0.1230451026793605,6500.0,0,8.0,4.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,1
6,2024,0.2880280870665649,1,-1.47684133476536,5500.0,0,8.0,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
7,2024,1.0044807481928097,1,1.1076787446715481,5500.0,0,4.0,4.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1
8,2024,1.5776428770938056,5,-0.1230451026793605,5500.0,0,8.0,4.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
9,2024,0.7178996837423118,5,-0.1230451026793605,6500.0,0,4.0,7.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1
10,2024,-0.42842457405967993,5,-0.1230451026793605,4500.0,0,7.0,7.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1
11,2024,0.2880280870665649,1,1.1076787446715481,6500.0,0,8.0,8.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
12,2024,0.14473755484131592,1,-0.24611748741445136,5500.0,0,4.0,4.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
13,2024,-0.8582961707354269,1,1.2307511294066389,6500.0,0,2.0,4.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
14,2024,0.0014470226160669506,5,-0.1230451026793605,5500.0,0,4.0,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1
15,2024,1.2910618126433078,0,1.1076787446715481,4500.0,0,8.0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
16,2024,1.1477712804180586,5,-0.1230451026793605,5500.0,0,4.0,4.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
17,2024,-0.5717151062849289,0,-0.1230451026793605,5500.0,0,2.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
18,2024,0.7178996837423118,5,-0.1230451026793605,5500.0,0,8.0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
19,2024,-1.2881677674111738,1,-1.353768950030269,6500.0,0,7.0,7.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,1
20,2024,0.14473755484131592,1,-1.47684133476536,5500.0,0,7.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
21,2024,0.2880280870665649,1,-0.49226225688463304,4500.0,1,8.0,7.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,2024,-0.7150056385101778,1,-0.1230451026793605,5500.0,0,2.0,2.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
23,2024,0.7178996837423118,1,-1.353768950030269,4500.0,0,2.0,4.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,2024,0.0014470226160669506,0,1.2307511294066389,6500.0,0,8.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,2024,-0.5717151062849289,1,-0.1230451026793605,6500.0,0,4.0,8.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1
26,2024,0.7178996837423118,2,0.36924443626100295,5500.0,0,8.0,4.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
27,2024,0.14473755484131592,1,-0.7384070263548148,8500.0,0,7.0,8.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1
28,2024,0.7178996837423118,1,-1.353768950030269,5500.0,0,8.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0
29,2024,0.14473755484131592,0,0.9846063599364572,6500.0,0,4.0,7.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
30,2024,1.2910618126433078,1,0.4923168209960938,5500.0,0,8.0,7.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
31,2024,0.8611902159675607,0,-0.7384070263548148,4500.0,0,8.0,7.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
32,2024,0.8611902159675607,5,-0.1230451026793605,5500.0,0,8.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
33,2024,1.1477712804180586,1,-1.47684133476536,5500.0,0,7.0,7.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
34,2024,0.2880280870665649,1,1.1076787446715481,6500.0,0,8.0,4.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
35,2024,0.2880280870665649,0,-0.3691898721495422,4500.0,0,4.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
36,2024,0.0014470226160669506,1,0.8615339752013663,5500.0,0,7.0,7.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
37,2024,-0.7150056385101778,0,-1.1076241805600873,5500.0,0,7.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,2024,3.0105481993462955,1,2.953764515697911,4500.0,0,7.0,4.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1
39,2024,0.6605834708522114,1,1.1076787446715481,4500.0,0,8.0,2.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
40,2024,0.0014470226160669506,0,1.4768958988768206,8500.0,0,2.0,7.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1
41,2024,-1.8613298963121696,1,-1.353768950030269,4500.0,0,4.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1
42,2024,0.8611902159675607,1,0.4923168209960938,5500.0,0,2.0,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,2024,0.7178996837423118,5,-0.1230451026793605,5500.0,0,2.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
44,2024,0.2880280870665649,5,-0.1230451026793605,4500.0,0,2.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
45,2024,0.2880280870665649,5,-0.1230451026793605,5500.0,0,4.0,4.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1
46,2024,0.43131861929181387,1,-0.7384070263548148,6500.0,0,2.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
47,2024,-0.285134041834431,0,-0.615334641619724,5500.0,0,4.0,2.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
48,2024,-0.285134041834431,1,-0.3691898721495422,4500.0,0,8.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
